,starttime,Lat,Lon,Base
6805,7/9/14 4:55,40.7522,-73.9854,B02512
6806,7/9/14 4:57,40.692,-73.9606,B02512
6807,7/9/14 4:58,40.7239,-74.0036,B02512
6808,7/9/14 4:59,40.7557,-73.9817,B02512
6809,7/9/14 5:03,40.7835,-73.9708,B02512
6810,7/9/14 5:03,40.6878,-74.1816,B02512
6811,7/9/14 5:03,40.6939,-73.9062,B02512
6812,7/9/14 5:08,40.9529,-73.7088,B02512
6813,7/9/14 5:08,40.6983,-73.9676,B02512
6814,7/9/14 5:12,40.7369,-74.0035,B02512
6815,7/9/14 5:21,40.7214,-74.0013,B02512
6816,7/9/14 5:28,40.7979,-73.9693,B02512
6817,7/9/14 5:28,40.6888,-73.9679,B02512
6818,7/9/14 5:30,40.8058,-73.9543,B02512
6819,7/9/14 5:30,40.7687,-73.9874,B02512
6820,7/9/14 5:32,40.7873,-74.2433,B02512
6821,7/9/14 5:33,40.7419,-73.9973,B02512
6822,7/9/14 5:35,40.7852,-73.9713,B02512
6823,7/9/14 5:38,40.7154,-74.0167,B02512
6824,7/9/14 5:40,40.782,-73.9792,B02512
6825,7/9/14 5:41,40.7682,-73.9564,B02512
6826,7/9/14 5:43,40.6485,-73.7838,B02512
6827,7/9/14 5:43,40.8898,-73.7848,B02512
6828,7/9/14 5:43,40.6466,-73.7899,B02512
6829,7/9/14 5:45,40.7201,-74.0093,B02512
6830,7/9/14 5:45,40.7447,-73.9776,B02512
6831,7/9/14 5:46,40.7389,-74.3152,B02512
6832,7/9/14 5:46,40.7654,-73.976,B02512
6833,7/9/14 5:46,40.7648,-73.981,B02512
6834,7/9/14 5:50,40.7124,-74.1644,B02512
6835,7/9/14 5:56,40.7464,-73.993,B02512
6836,7/9/14 5:58,40.7721,-73.966,B02512
6837,7/9/14 5:59,40.7126,-73.9586,B02512
6838,7/9/14 6:02,40.7656,-73.9754,B02512
6839,7/9/14 6:03,40.7469,-73.9928,B02512
6840,7/9/14 6:07,40.771,-73.9833,B02512
6841,7/9/14 6:11,40.7475,-74.0038,B02512
6842,7/9/14 6:12,40.7258,-74.0054,B02512
6843,7/9/14 6:15,40.7797,-73.9745,B02512
6844,7/9/14 6:20,40.7137,-73.9632,B02512
6845,7/9/14 6:21,40.7463,-73.9902,B02512
6846,7/9/14 6:22,40.7354,-73.851,B02512
6847,7/9/14 6:26,40.695,-74.1789,B02512
6848,7/9/14 6:28,40.7675,-73.9552,B02512
6849,7/9/14 6:30,40.7693,-73.9813,B02512
6850,7/9/14 6:30,40.7743,-73.9632,B02512
6851,7/9/14 6:30,40.9765,-73.9422,B02512
6852,7/9/14 6:31,40.7335,-74.0046,B02512
6853,7/9/14 6:32,40.7651,-73.9633,B02512
6854,7/9/14 6:36,40.7211,-74.004,B02512
6855,7/9/14 6:36,40.7453,-74.0006,B02512
6856,7/9/14 6:36,40.7222,-73.9997,B02512
6857,7/9/14 6:37,40.7186,-74.0078,B02512
6858,7/9/14 6:37,40.7387,-74.0061,B02512
6859,7/9/14 6:39,40.7673,-73.994,B02512
6860,7/9/14 6:40,40.7785,-73.9781,B02512
6861,7/9/14 6:40,40.691,-73.99,B02512
6862,7/9/14 6:42,40.786,-73.9532,B02512
6863,7/9/14 6:43,40.7759,-73.9533,B02512
6864,7/9/14 6:46,40.7164,-73.999,B02512
6865,7/9/14 6:48,40.7743,-73.9822,B02512
6866,7/9/14 6:48,40.7984,-73.9711,B02512
6867,7/9/14 6:49,40.7439,-73.9713,B02512
6868,7/9/14 6:49,40.6878,-74.1815,B02512
6869,7/9/14 6:50,40.7154,-74.0123,B02512
6870,7/9/14 6:52,40.6951,-74.1775,B02512
6871,7/9/14 6:53,40.7394,-74.0276,B02512
6872,7/9/14 6:55,40.7194,-73.9879,B02512
6873,7/9/14 6:58,40.7433,-73.992,B02512
6874,7/9/14 6:59,40.6465,-73.7894,B02512
6875,7/9/14 6:59,40.6465,-73.7894,B02512
6876,7/9/14 6:59,40.7372,-74.0377,B02512
6877,7/9/14 6:59,40.7385,-73.9856,B02512
6878,7/9/14 6:59,40.707,-74.0169,B02512
6879,7/9/14 7:04,40.7152,-74.0156,B02512
6880,7/9/14 7:07,40.7433,-74.0021,B02512
6881,7/9/14 7:07,40.752,-73.9947,B02512
