,starttime,Lat,Lon,Base
3811,7/4/14 23:06,40.7458,-73.9569,B02512
3812,7/4/14 23:10,40.7437,-73.9588,B02512
3813,7/4/14 23:11,40.6869,-73.9845,B02512
3814,7/4/14 23:15,40.7563,-73.9716,B02512
3815,7/4/14 23:15,40.7003,-73.94,B02512
3816,7/4/14 23:16,40.7218,-73.9958,B02512
3817,7/4/14 23:18,40.1762,-74.0156,B02512
3818,7/4/14 23:18,40.806,-73.956,B02512
3819,7/4/14 23:19,40.7128,-73.9654,B02512
3820,7/4/14 23:23,40.7563,-73.9681,B02512
3821,7/4/14 23:23,40.7279,-74.0348,B02512
3822,7/4/14 23:23,40.7279,-74.0348,B02512
3823,7/4/14 23:23,40.721,-73.9409,B02512
3824,7/4/14 23:27,40.7332,-73.9598,B02512
3825,7/4/14 23:28,40.712,-73.9525,B02512
3826,7/4/14 23:32,40.7112,-74.0055,B02512
3827,7/4/14 23:34,40.7142,-73.9651,B02512
3828,7/4/14 23:35,40.7577,-73.9861,B02512
3829,7/4/14 23:37,40.6751,-74.0176,B02512
3830,7/4/14 23:37,40.674,-73.928,B02512
3831,7/4/14 23:41,40.6935,-73.9887,B02512
3832,7/4/14 23:42,40.7582,-73.9646,B02512
3833,7/4/14 23:45,40.7036,-73.9378,B02512
3834,7/4/14 23:47,40.1114,-74.0342,B02512
3835,7/4/14 23:47,40.8015,-74.0607,B02512
3836,7/4/14 23:47,40.7132,-73.9514,B02512
3837,7/4/14 23:52,40.7124,-73.9991,B02512
3838,7/4/14 23:53,40.7156,-73.9341,B02512
3839,7/4/14 23:54,40.6943,-73.9632,B02512
3840,7/4/14 23:55,40.6239,-73.5986,B02512
3841,7/4/14 23:58,40.7531,-74.0262,B02512
3842,7/4/14 23:58,40.7531,-74.0262,B02512
3843,7/4/14 23:58,40.833,-73.9443,B02512
3844,7/4/14 23:59,40.7166,-73.9455,B02512
3845,7/4/14 23:59,40.7161,-73.9633,B02512
58300,7/4/14 0:01,40.7414,-73.9813,B02598
58301,7/4/14 0:01,40.7119,-73.963,B02598
58302,7/4/14 0:01,40.6832,-73.9382,B02598
58303,7/4/14 0:01,40.6446,-73.7821,B02598
58304,7/4/14 0:01,40.6446,-73.7825,B02598
58305,7/4/14 0:02,40.7598,-73.9959,B02598
58306,7/4/14 0:02,40.6571,-73.9771,B02598
58307,7/4/14 0:02,40.7741,-73.872,B02598
58308,7/4/14 0:02,40.7151,-73.9455,B02598
58309,7/4/14 0:03,40.7621,-73.9747,B02598
58310,7/4/14 0:03,40.7495,-73.983,B02598
58311,7/4/14 0:04,40.7496,-73.9952,B02598
58312,7/4/14 0:04,40.6447,-73.7818,B02598
58313,7/4/14 0:04,40.6447,-73.7818,B02598
58314,7/4/14 0:04,40.7729,-73.8739,B02598
58315,7/4/14 0:05,40.7437,-73.9907,B02598
58316,7/4/14 0:05,40.6448,-73.7917,B02598
58317,7/4/14 0:06,40.7673,-73.8668,B02598
58318,7/4/14 0:06,40.7224,-73.955,B02598
58319,7/4/14 0:06,40.6947,-74.1773,B02598
58320,7/4/14 0:07,40.7505,-73.9739,B02598
58321,7/4/14 0:07,40.6444,-73.7818,B02598
58322,7/4/14 0:07,40.7221,-73.9878,B02598
58323,7/4/14 0:07,40.6342,-73.9093,B02598
58324,7/4/14 0:07,40.7277,-73.9421,B02598
58325,7/4/14 0:07,40.7123,-73.9596,B02598
58326,7/4/14 0:09,40.6447,-73.7823,B02598
58327,7/4/14 0:09,40.7192,-73.9641,B02598
58328,7/4/14 0:09,40.7205,-73.9621,B02598
58329,7/4/14 0:10,40.748,-73.9879,B02598
58330,7/4/14 0:10,40.7535,-73.9781,B02598
58331,7/4/14 0:10,40.6447,-73.7822,B02598
58332,7/4/14 0:10,40.6781,-73.9924,B02598
58333,7/4/14 0:10,40.7625,-73.9714,B02598
58334,7/4/14 0:10,40.7356,-73.9885,B02598
58335,7/4/14 0:11,40.688,-74.183,B02598
58336,7/4/14 0:11,40.6448,-73.7827,B02598
58337,7/4/14 0:11,40.6444,-73.7833,B02598
58338,7/4/14 0:11,40.7382,-74.0097,B02598
58339,7/4/14 0:12,40.6658,-73.9891,B02598
58340,7/4/14 0:12,40.7252,-73.9781,B02598
58341,7/4/14 0:12,40.6573,-73.9588,B02598
58342,7/4/14 0:13,40.7465,-73.9937,B02598
58343,7/4/14 0:14,40.7415,-73.9915,B02598
58344,7/4/14 0:14,41.0144,-73.8758,B02598
58345,7/4/14 0:15,40.7301,-74.0049,B02598
58346,7/4/14 0:15,40.7553,-73.9867,B02598
58347,7/4/14 0:15,40.6484,-73.7833,B02598
58348,7/4/14 0:15,40.6731,-73.9286,B02598
58349,7/4/14 0:15,40.7259,-73.9838,B02598
58350,7/4/14 0:16,40.717,-73.989,B02598
58351,7/4/14 0:17,40.7334,-74.0047,B02598
58352,7/4/14 0:18,40.7551,-73.9867,B02598
58353,7/4/14 0:18,40.7385,-73.9934,B02598
58354,7/4/14 0:19,40.7533,-74.0264,B02598
58355,7/4/14 0:20,40.6448,-73.7818,B02598
58356,7/4/14 0:20,40.7275,-74.0015,B02598
58357,7/4/14 0:21,40.6447,-73.7821,B02598
58358,7/4/14 0:21,40.7608,-73.9962,B02598
58359,7/4/14 0:21,40.7342,-73.9525,B02598
58360,7/4/14 0:21,40.7739,-73.8718,B02598
58361,7/4/14 0:23,40.7608,-73.991,B02598
58362,7/4/14 0:23,40.6443,-73.783,B02598
58363,7/4/14 0:24,40.7387,-73.9999,B02598
58364,7/4/14 0:24,40.7096,-74.0152,B02598
58365,7/4/14 0:24,40.7017,-73.915,B02598
58366,7/4/14 0:24,40.7544,-73.9696,B02598
58367,7/4/14 0:25,40.6446,-73.7826,B02598
58368,7/4/14 0:25,40.7139,-73.9417,B02598
58369,7/4/14 0:25,40.6183,-74.0362,B02598
58370,7/4/14 0:25,40.7139,-73.9417,B02598
58371,7/4/14 0:25,40.7439,-73.9889,B02598
58372,7/4/14 0:25,40.6738,-74.0118,B02598
58373,7/4/14 0:25,40.7401,-73.9865,B02598
58374,7/4/14 0:26,40.7527,-73.9859,B02598
58375,7/4/14 0:26,40.7407,-74.0056,B02598
58376,7/4/14 0:26,40.7486,-73.9861,B02598
58377,7/4/14 0:28,40.6944,-73.9576,B02598
58378,7/4/14 0:28,40.7479,-73.8805,B02598
58379,7/4/14 0:29,40.7664,-73.9816,B02598
58380,7/4/14 0:30,40.7433,-73.9937,B02598
58381,7/4/14 0:30,40.7165,-73.999,B02598
58382,7/4/14 0:32,40.7676,-73.9851,B02598
58383,7/4/14 0:33,40.733,-73.9935,B02598
58384,7/4/14 0:34,40.739,-73.9945,B02598
58385,7/4/14 0:34,40.7237,-74.0003,B02598
58386,7/4/14 0:35,40.6621,-73.9618,B02598
58387,7/4/14 0:36,40.7501,-73.9943,B02598
58388,7/4/14 0:36,40.7647,-73.9961,B02598
58389,7/4/14 0:36,40.7278,-73.9416,B02598
58390,7/4/14 0:37,40.6878,-74.182,B02598
58391,7/4/14 0:37,40.7718,-73.981,B02598
58392,7/4/14 0:37,40.774,-73.8732,B02598
58393,7/4/14 0:39,40.7435,-73.9725,B02598
58394,7/4/14 0:39,40.7559,-73.9941,B02598
58395,7/4/14 0:40,40.7375,-74.0075,B02598
58396,7/4/14 0:40,40.6677,-73.9908,B02598
58397,7/4/14 0:41,40.7146,-73.9999,B02598
58398,7/4/14 0:41,40.618,-74.0253,B02598
58399,7/4/14 0:41,40.721,-73.998,B02598
58400,7/4/14 0:41,40.7187,-73.9923,B02598
58401,7/4/14 0:42,40.7213,-73.9946,B02598
58402,7/4/14 0:42,40.7487,-73.9921,B02598
58403,7/4/14 0:42,40.7449,-73.9996,B02598
58404,7/4/14 0:43,40.6419,-73.7882,B02598
58405,7/4/14 0:43,40.7477,-73.9805,B02598
58406,7/4/14 0:45,40.7103,-74.007,B02598
58407,7/4/14 0:45,40.7405,-74.0082,B02598
58408,7/4/14 0:47,40.7468,-73.9936,B02598
58409,7/4/14 0:47,40.6754,-73.9077,B02598
58410,7/4/14 0:48,40.6955,-74.1786,B02598
58411,7/4/14 0:48,40.7149,-73.9969,B02598
58412,7/4/14 0:48,40.808,-73.9641,B02598
58413,7/4/14 0:49,40.7171,-73.9907,B02598
58414,7/4/14 0:49,40.704,-73.933,B02598
58415,7/4/14 0:49,40.752,-73.9855,B02598
58416,7/4/14 0:50,40.8194,-73.4037,B02598
58417,7/4/14 0:50,40.7418,-74.0037,B02598
58418,7/4/14 0:50,40.6702,-73.9532,B02598
58419,7/4/14 0:53,40.7346,-73.9923,B02598
58420,7/4/14 0:54,40.7308,-73.9782,B02598
58421,7/4/14 0:54,40.7199,-73.9917,B02598
58422,7/4/14 0:55,40.721,-73.9934,B02598
58423,7/4/14 0:56,40.6956,-74.1786,B02598
58424,7/4/14 0:56,40.7449,-73.9785,B02598
58425,7/4/14 0:56,40.6948,-74.1779,B02598
58426,7/4/14 0:57,40.818,-74.2238,B02598
58427,7/4/14 0:57,40.6453,-73.7864,B02598
58428,7/4/14 0:58,40.7078,-74.0164,B02598
58429,7/4/14 0:59,40.7259,-74.0085,B02598
58430,7/4/14 1:00,40.7739,-73.8715,B02598
58431,7/4/14 1:00,40.7485,-73.9792,B02598
58432,7/4/14 1:01,40.7739,-73.8716,B02598
58433,7/4/14 1:01,40.6448,-73.7817,B02598
58434,7/4/14 1:02,40.7531,-73.9836,B02598
58435,7/4/14 1:03,40.7505,-73.9391,B02598
58436,7/4/14 1:03,40.74,-74.0054,B02598
58437,7/4/14 1:03,40.7445,-73.9984,B02598
58438,7/4/14 1:03,40.7503,-73.9782,B02598
58439,7/4/14 1:04,40.7644,-73.9837,B02598
58440,7/4/14 1:04,40.7393,-74.0084,B02598
58441,7/4/14 1:04,40.7081,-73.9434,B02598
58442,7/4/14 1:04,40.7262,-74.0025,B02598
58443,7/4/14 1:05,40.7209,-73.9936,B02598
58444,7/4/14 1:06,40.6485,-73.7832,B02598
58445,7/4/14 1:06,40.7646,-73.9954,B02598
58446,7/4/14 1:06,40.7051,-74.0074,B02598
58447,7/4/14 1:07,40.6999,-73.9284,B02598
58448,7/4/14 1:07,40.6465,-73.7899,B02598
58449,7/4/14 1:08,40.707,-74.0058,B02598
58450,7/4/14 1:08,40.707,-74.0058,B02598
58451,7/4/14 1:08,40.7373,-74.0405,B02598
58452,7/4/14 1:09,40.7354,-74.0096,B02598
58453,7/4/14 1:09,40.7404,-74.0079,B02598
58454,7/4/14 1:11,40.7558,-73.9914,B02598
58455,7/4/14 1:12,40.7587,-73.9887,B02598
58456,7/4/14 1:12,40.7227,-73.983,B02598
58457,7/4/14 1:12,40.7632,-73.9686,B02598
58458,7/4/14 1:13,40.7243,-73.9577,B02598
58459,7/4/14 1:13,40.8609,-73.9203,B02598
58460,7/4/14 1:13,40.6447,-73.7819,B02598
58461,7/4/14 1:15,40.7343,-73.9755,B02598
58462,7/4/14 1:15,40.6945,-73.9936,B02598
58463,7/4/14 1:16,40.7129,-73.947,B02598
58464,7/4/14 1:16,40.7184,-73.9938,B02598
58465,7/4/14 1:16,40.7257,-73.9777,B02598
58466,7/4/14 1:17,40.6446,-73.7821,B02598
58467,7/4/14 1:18,40.7192,-74.0433,B02598
58468,7/4/14 1:18,40.7711,-73.8663,B02598
58469,7/4/14 1:18,40.7065,-73.9312,B02598
58470,7/4/14 1:19,40.8712,-73.4263,B02598
58471,7/4/14 1:19,40.7536,-73.9344,B02598
58472,7/4/14 1:19,40.6937,-73.956,B02598
58473,7/4/14 1:21,40.7561,-73.9729,B02598
58474,7/4/14 1:21,40.7303,-73.9946,B02598
58475,7/4/14 1:22,40.6948,-74.1779,B02598
58476,7/4/14 1:22,40.755,-73.9841,B02598
58477,7/4/14 1:23,40.7697,-73.9584,B02598
58478,7/4/14 1:23,40.7022,-73.9868,B02598
58479,7/4/14 1:25,40.7336,-73.992,B02598
58480,7/4/14 1:25,40.7381,-74.0034,B02598
58481,7/4/14 1:25,40.7421,-74.0043,B02598
58482,7/4/14 1:26,40.7192,-73.7943,B02598
58483,7/4/14 1:26,40.7737,-73.9602,B02598
58484,7/4/14 1:26,40.7737,-73.9602,B02598
58485,7/4/14 1:26,40.6448,-73.7818,B02598
58486,7/4/14 1:27,40.7464,-73.9555,B02598
58487,7/4/14 1:28,40.7141,-73.9489,B02598
58488,7/4/14 1:28,40.7405,-74.0056,B02598
58489,7/4/14 1:30,40.7403,-74.0309,B02598
58490,7/4/14 1:31,40.6806,-73.9945,B02598
58491,7/4/14 1:33,40.7445,-73.9914,B02598
58492,7/4/14 1:33,40.6484,-73.7831,B02598
58493,7/4/14 1:33,40.7436,-73.9725,B02598
58494,7/4/14 1:34,40.7417,-74.0037,B02598
58495,7/4/14 1:35,40.6208,-74.0267,B02598
58496,7/4/14 1:36,40.645,-73.789,B02598
58497,7/4/14 1:37,40.7809,-73.9495,B02598
58498,7/4/14 1:38,40.7607,-73.9791,B02598
58499,7/4/14 1:39,40.6448,-73.7819,B02598
58500,7/4/14 1:41,40.7643,-73.9958,B02598
58501,7/4/14 1:41,40.7223,-73.9896,B02598
58502,7/4/14 1:43,40.7508,-73.9713,B02598
