,starttime,Lat,Lon,Base
548100,4/30/14 16:35,40.7413,-73.9911,B02682
548101,4/30/14 16:35,40.7321,-73.9926,B02682
548102,4/30/14 16:35,40.672,-74.0107,B02682
548103,4/30/14 16:35,40.7615,-73.9782,B02682
548104,4/30/14 16:36,40.7274,-74.0055,B02682
548105,4/30/14 16:36,40.7748,-73.9565,B02682
548106,4/30/14 16:36,40.7145,-74.0156,B02682
548107,4/30/14 16:36,40.7485,-73.9867,B02682
548108,4/30/14 16:36,40.7699,-73.8663,B02682
548109,4/30/14 16:36,40.7406,-73.9935,B02682
548110,4/30/14 16:36,40.7193,-73.9989,B02682
548111,4/30/14 16:36,40.7475,-73.9756,B02682
548112,4/30/14 16:36,40.7535,-73.975,B02682
548113,4/30/14 16:36,40.7333,-73.9969,B02682
548114,4/30/14 16:36,40.7619,-73.9833,B02682
548115,4/30/14 16:36,40.7391,-73.9988,B02682
548116,4/30/14 16:36,40.7512,-74.0067,B02682
548117,4/30/14 16:36,40.7584,-73.9768,B02682
548118,4/30/14 16:36,40.7862,-73.9714,B02682
548119,4/30/14 16:36,40.7739,-73.8725,B02682
548120,4/30/14 16:36,40.7037,-73.9845,B02682
548121,4/30/14 16:36,40.7468,-73.9842,B02682
548122,4/30/14 16:36,40.7519,-73.9948,B02682
548123,4/30/14 16:37,40.7832,-73.9548,B02682
548124,4/30/14 16:37,40.7508,-73.98,B02682
548125,4/30/14 16:37,40.782,-73.9459,B02682
548126,4/30/14 16:37,40.7401,-74.006,B02682
548127,4/30/14 16:37,40.7405,-73.9861,B02682
548128,4/30/14 16:37,40.7799,-73.9569,B02682
548129,4/30/14 16:37,40.7341,-73.8718,B02682
548130,4/30/14 16:37,40.7533,-73.9705,B02682
548131,4/30/14 16:37,40.6417,-73.9595,B02682
548132,4/30/14 16:37,40.7203,-73.9615,B02682
548133,4/30/14 16:37,40.7444,-74.0021,B02682
548134,4/30/14 16:37,40.7663,-73.9541,B02682
548135,4/30/14 16:37,40.7218,-74.0061,B02682
548136,4/30/14 16:37,40.7667,-73.9538,B02682
